name,description,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127
Barack Obama,"Official portrait, 2012",-0.0733065083622932,0.0729757323861122,0.036408644169569,-0.0685895010828971,-0.0139498421922326,0.0101486556231975,-0.0490876510739326,-0.0948947817087173,0.2085229009389877,-0.1045266985893249,0.242427870631218,0.0953542366623878,-0.2124267667531967,-0.1165932938456535,0.0740263909101486,0.0990608409047126,-0.1819865554571152,-0.0316311046481132,-0.084347553551197,-0.1046991124749183,0.0388275757431984,-0.0088358828797936,0.1098789870738983,-0.0354666076600551,-0.1036766022443771,-0.3550381958484649,-0.0863371863961219,-0.1486607640981674,0.051135379821062,-0.0819403678178787,-0.0578595399856567,-0.0015062972670421,-0.1684953868389129,-0.1046435758471489,0.0046608299016952,-0.0316301211714744,-0.0528409630060195,-0.0529522597789764,0.2381162047386169,0.0061200791969895,-0.1134525761008262,0.0698104202747345,0.0197827145457267,0.1788201928138733,0.2721250355243683,0.0407631769776344,0.0006005968898534,-0.0855592861771583,0.1384586542844772,-0.2562880218029022,0.0740241184830665,0.1210397034883499,0.0868805721402168,0.0631545782089233,0.0833468437194824,-0.1815382093191146,0.0203070044517517,0.0775938928127288,-0.1916855573654174,0.0310749616473913,0.0510290227830409,-0.0868249237537384,-0.0733001679182052,0.0393116734921932,0.2159387320280075,0.1404264271259308,-0.1149093508720398,-0.0993685498833656,0.1288828551769256,-0.0515551716089248,0.0387870669364929,0.0297897309064865,-0.1944276541471481,-0.2039949297904968,-0.2228838950395584,0.0897950083017349,0.3214442431926727,0.170478954911232,-0.1655930280685424,0.0017885584384202,-0.1992408484220504,0.0462700687348842,0.0728522092103958,0.0044582649134099,-0.062023140490055,-0.1217427551746368,-0.0179845001548528,0.0297719519585371,0.0931441485881805,-0.0083653265610337,-0.0694305151700973,0.2618125379085541,0.0030774781480431,0.0744409784674644,0.0117473509162664,0.0402895361185073,-0.10533107817173,-0.039210494607687,-0.1661668568849563,-0.0384370312094688,0.0564593598246574,-0.0799192115664482,0.0671381056308746,0.1482946276664734,-0.2486754059791565,0.1032053157687187,-0.0134831517934799,-0.006231581326574,0.0794984847307205,0.0014591300860047,-0.0560745671391487,-0.0309569109231233,0.0846321433782577,-0.2677256464958191,0.25783771276474,0.2304075956344604,0.0450027026236057,0.1745039075613022,0.0599961578845977,0.0313903242349624,-0.0124618671834468,-0.0086816558614373,-0.1777534931898117,-0.0208868887275457,0.0270187221467494,0.0761767998337745,0.0298000704497098,0.0274539943784475
Donald Trump,"45th President of the United States January 20, 2017",-0.117319755256176,0.1065809801220894,0.0029871892184019,0.0351114273071289,-0.1385087519884109,-0.0198523122817277,0.0509163327515125,-0.1945983469486236,-0.0067638312466442,-0.0620061419904232,0.1671633124351501,-0.0928188785910606,-0.3606820702552795,-0.1056618094444274,0.0513513758778572,0.1016374826431274,-0.1699429899454116,-0.1428383588790893,-0.1581874787807464,-0.1038986518979072,0.0090855788439512,-0.025743294507265,-0.0385764427483081,-0.050297025591135,-0.1119941994547844,-0.2127013504505156,-0.0579084381461143,-0.104595348238945,0.0043556466698646,-0.0496314615011215,0.1067169830203056,0.0138947386294603,-0.2422511130571365,-0.0935723930597305,0.0206538662314414,0.0470439381897449,-0.0971094593405723,-0.0841003358364105,0.1185571998357772,-0.0194004140794277,-0.1458987444639206,-0.0121411476284265,0.0683460235595703,0.22873654961586,0.1885737031698227,0.02116116322577,-0.0279654469341039,-0.0873625501990318,0.1093158349394798,-0.249510183930397,-0.0301957819610834,0.1407145112752914,0.119044192135334,0.1315896064043045,0.0194453466683626,-0.1422959417104721,0.1050732135772705,0.1195587962865829,-0.2426890283823013,0.0252137463539838,0.1193262264132499,-0.142999842762947,-0.0138240288943052,-0.0505095981061458,0.1454656571149826,0.0831402242183685,-0.0292093250900506,-0.1331298649311065,0.230465829372406,-0.2019268572330474,-0.1334739178419113,0.0365921556949615,-0.0564320608973503,-0.1361538022756576,-0.3113437592983246,-0.0126634016633033,0.3668866753578186,0.170150801539421,-0.1386321187019348,-0.0947793796658516,-0.0859899669885635,-0.009115383028984,0.0381432957947254,0.0378526262938976,-0.0405767709016799,-0.1027241945266723,-0.0856706798076629,-0.0045487806200981,0.222049742937088,-0.0625413879752159,-0.0019184964476153,0.2280221283435821,0.0528960078954696,-0.1101489439606666,0.0664870738983154,-0.0301989372819662,-0.0999384969472885,-0.0337359644472599,-0.1014881655573844,-0.0765378847718238,-0.014011955820024,-0.2123172730207443,0.0539745949208736,0.1369867026805877,-0.1700351983308792,0.185975968837738,-0.0108496798202395,-0.0086901932954788,-0.0482933707535266,-0.0929789990186691,-0.0086142411455512,0.0586405918002128,0.1492994576692581,-0.2208122462034224,0.2481222599744797,0.2167766541242599,6.263959221541883e-05,0.0862490385770797,0.0095998886972665,0.0861140936613082,-0.0836365595459938,-0.0386844389140605,-0.1917464882135391,-0.1784563064575195,-0.0104827238246798,0.0169003084301948,-0.0100333821028471,0.0387838073074817
George W. Bush,"2003, 43rd President of the United States",-0.0345707647502422,0.1441099941730499,0.0083304410800337,-0.0184364896267652,-0.1641980111598968,0.0450019910931587,-0.0568755641579628,-0.0630129724740982,0.0186562575399875,0.0465258881449699,0.2272969931364059,-0.0864123478531837,-0.2655473053455353,-0.040620818734169,-0.0296695493161678,0.1453710198402404,-0.0346618518233299,-0.0738092586398124,-0.1898282468318939,-0.0741715803742408,-0.0780118703842163,-0.0061528161168098,0.0640495717525482,-0.0251338332891464,-0.0848574414849281,-0.3164756596088409,-0.0157938320189714,-0.0619926266372203,0.0672285705804824,-0.0989601463079452,-0.0429147630929946,0.0526380687952041,-0.2935114502906799,-0.0610853061079978,0.0302614234387874,0.0713274478912353,-0.0796505510807037,-0.0202624425292015,0.2303429841995239,0.0060261283069849,-0.1375520527362823,0.0704398155212402,0.1199721917510032,0.1915192008018493,0.163323312997818,0.0636420547962188,0.0374381318688392,-0.015848770737648,0.1138199046254158,-0.2348752468824386,0.0435019060969352,0.1330693513154983,0.1350248754024505,0.075848251581192,0.0466532707214355,-0.1185532733798027,-0.0069176433607935,0.1507995724678039,-0.1574472486972808,0.0312238186597824,-0.0139557067304849,0.0018418421968817,-0.1057993471622467,-0.1259888857603073,0.2642588019371033,0.1194316446781158,-0.0636464580893516,-0.1291432827711105,0.17019984126091,-0.1113055199384689,-0.0168989542871713,0.0861544087529182,-0.0530151203274726,-0.1027471050620079,-0.2864655256271362,0.0905545800924301,0.2755587995052337,0.0649557709693908,-0.2170951068401336,-0.0149064473807811,-0.0347216129302978,-0.0753085166215896,-0.037295576184988,-0.0544843822717666,-0.0887553244829177,-0.0168392546474933,-0.082652524113655,-0.0209666304290294,0.2929796874523163,-0.1160112023353576,0.0614544339478015,0.2015758901834488,0.0334486439824104,0.0144469765946269,-0.0065167224965989,0.0575488321483135,-0.1196345314383506,-0.0849662721157074,-0.1474793404340744,-0.0071166781708598,0.0382688716053962,-0.1514726728200912,-0.0427512861788272,0.0644885227084159,-0.2214245498180389,0.0775460749864578,-0.033853031694889,-0.0653628408908844,-0.0356258749961853,0.0039171245880424,-0.0560728684067726,-0.0642384439706802,0.1679899394512176,-0.2591924071311951,0.2689507305622101,0.1666788756847381,-0.0601325295865535,0.0459109917283058,0.1024213507771492,0.0664742141962051,0.0071869655512273,0.0346849709749221,-0.090270385146141,-0.2092343419790268,0.0769585743546485,-0.0526004694402217,-0.0592923946678638,0.0581610761582851
George H. W. Bush,"41st President of the United State, 1989",-0.0278299711644649,0.1605583429336548,0.0657931417226791,0.0244322773069143,-0.0853878483176231,0.0503582954406738,-0.0456234253942966,0.0079285772517323,0.0431867130100727,-0.1172586604952812,0.2911432087421417,-0.048633623868227,-0.3342325389385223,-0.0285639539361,-0.0813347324728965,0.1775148510932922,-0.0979728400707244,-0.0406214371323585,-0.2026311755180359,-0.1145533546805381,-0.0571891963481903,0.0307981595396995,-0.0107425078749656,-0.0999361202120781,-0.0689706653356552,-0.2869744300842285,-0.0299863256514072,-0.0394323393702507,0.1055801957845688,-0.1914779543876648,0.0082249119877815,0.0415854528546333,-0.2000419646501541,-0.0234829522669315,0.0068086208775639,0.019826240837574,-0.0934295877814292,-0.0616144798696041,0.2066256552934646,0.0419952310621738,-0.1219420805573463,0.0863770991563797,0.0442688688635826,0.2576754093170166,0.251007080078125,-0.0281049124896526,-0.0063084810972213,-0.0712775141000747,0.0973626524209976,-0.2861945033073425,0.0261674337089061,0.1243961676955223,0.1587070226669311,0.1341787427663803,0.0873529240489006,-0.0626151263713836,-0.0211647152900695,0.1280604749917984,-0.1366928815841674,0.006999721750617,0.0299473293125629,-0.0740656182169914,-0.0738999471068382,-0.0570279508829116,0.1114137470722198,0.0229984559118747,-0.0774971321225166,-0.1482758522033691,0.2655907273292541,-0.1654382050037384,-0.0115583976730704,0.105317622423172,-0.0046470835804939,-0.114383116364479,-0.240151509642601,0.1161139607429504,0.2878145277500153,0.1682227998971939,-0.1265024095773697,0.0242453273385763,-0.0235689654946327,-0.1413786560297012,-0.0610859096050262,0.0202075392007827,-0.0589216351509094,-0.1184876561164856,-0.0014280918985605,0.0683943629264831,0.2379066050052643,-0.0685307532548904,0.0027552032843232,0.1873012632131576,0.0029533635824918,-0.0660587176680564,0.0239447653293609,0.0091461604461073,-0.1139717400074005,-0.0937080755829811,-0.1275258809328079,-0.0446840226650238,0.0113379079848527,-0.2058719843626022,-0.0671182796359062,0.0770155936479568,-0.1635104417800903,0.1735621839761734,-0.0544786117970943,-0.0692771673202514,0.0236036274582147,-0.019531849771738,-0.0461975783109664,0.0669184029102325,0.1932195723056792,-0.2412759810686111,0.2656127512454986,0.1709591150283813,0.0315743051469326,0.0366492345929145,0.1237459927797317,0.0461716093122959,0.0470483191311359,-0.0469043217599392,-0.1413532942533493,-0.2455635815858841,-0.0124421920627355,-0.0442992970347404,-0.0277603901922702,-0.00898820720613
Xu Jin Jiang,"Actor, Painter",-0.1773970127105713,0.0856061726808548,0.0897343084216117,-0.0413641929626464,-0.0313669107854366,-0.0953938364982605,0.0068318452686071,-0.0930066406726837,0.1418480575084686,-0.0600834265351295,0.2477970421314239,0.0106886802241206,-0.1734815388917923,-0.1251256167888641,-0.0646958351135253,0.1434521973133087,-0.1510160416364669,-0.1046269536018371,-0.1074263602495193,-0.0613394081592559,0.075251817703247,0.0310170706361532,0.1085656657814979,-0.047972735017538,-0.0079664755612611,-0.3288370966911316,-0.0940027683973312,-0.0398086234927177,0.0906860381364822,-0.0732083916664123,0.061462253332138,-0.0456669740378856,-0.2535112500190735,-0.1341235935688018,0.011808200739324,0.0897721052169799,-0.0539004951715469,-0.0886077657341957,0.2077566981315612,-0.0039903079159557,-0.1598229855298996,-0.003910984378308,0.0770521089434623,0.2800474464893341,0.1343351900577545,0.0883163586258888,0.0016749203205108,-0.1580131947994232,0.0879554077982902,-0.1391458809375763,0.0825460106134414,0.1092272326350212,0.0668974816799163,0.0481727048754692,0.0630136579275131,-0.1347920149564743,0.0951089411973953,0.1052698045969009,-0.1505531817674636,0.0122996550053358,0.0866925418376922,-0.0081654638051986,-0.0605380684137344,-0.0594256408512592,0.2218255251646042,0.0411492697894573,-0.1017238944768905,-0.1866879314184188,0.125509113073349,-0.0828455463051796,-0.0469414554536342,0.069123163819313,-0.1069812774658203,-0.1338876038789749,-0.2820873260498047,0.0456184670329093,0.4058782160282135,0.0311484299600124,-0.146209716796875,0.0487139299511909,-0.0904901325702667,-0.0329358167946338,0.0840914696455001,0.1429760307073593,-0.0750065296888351,0.0574614182114601,-0.1051467135548591,-0.0242848601192236,0.1378907263278961,-0.0165338516235351,-0.0986491069197654,0.1599419713020324,0.0089075248688459,0.0174210742115974,0.0349524691700935,0.0169907733798027,-0.1183069348335266,0.0858825147151947,-0.1666687428951263,-0.0586298406124115,0.1023877039551734,-0.0637760311365127,-0.0283288564532995,0.0809868648648262,-0.1498292237520218,0.1183666139841079,0.0288449898362159,0.0154026160016655,0.0392232537269592,-0.0369875952601432,-0.1137627810239792,-0.0557315424084663,0.0807094797492027,-0.234712541103363,0.2660346627235413,0.2086763381958008,0.0467336289584636,0.1496546119451522,0.1790463626384735,0.1106285750865936,0.0371868833899498,0.0732517540454864,-0.168936476111412,-0.0444017238914966,0.0265771299600601,0.0092839710414409,0.0989710092544555,0.0435634516179561
Chris Hemsworth,"Australian actor, 2019",-0.1155458241701126,0.2137085795402526,0.0752681717276573,-0.0468788482248783,-0.1578668355941772,-0.0745861232280731,-0.0674829706549644,-0.0809264555573463,0.0924932062625885,0.0607568435370922,0.2749943435192108,-0.0445850156247615,-0.2856607437133789,-0.0063916887156665,-0.0822118148207664,0.05849539488554,-0.2035879492759705,-0.0738391354680061,-0.0429876446723938,-0.0511509366333484,0.0627282336354255,0.0570338927209377,0.0889314636588096,0.0845451056957244,-0.0287328362464904,-0.3400183320045471,-0.0454918071627616,-0.0649936273694038,0.1574628949165344,-0.137890338897705,0.0011973655782639,0.0756270512938499,-0.2618927955627441,-0.1433378458023071,0.0080446237698197,0.0577724538743496,-0.09219840914011,-0.1345550715923309,0.2183394581079483,-0.0047404267825186,-0.0609913244843483,-0.0073012374341487,-0.0083004552870988,0.3133030235767364,0.1442393213510513,0.0498391538858413,-0.0147500075399875,-0.0714444518089294,0.0722125247120857,-0.2267461419105529,0.0959800407290458,0.2384529113769531,0.1239066272974014,0.0947199910879135,0.0082885278388857,-0.1953913271427154,0.0960894003510475,0.1566636115312576,-0.2634859681129456,0.1143660098314285,0.0871718302369117,-0.0670891478657722,0.046288426965475,-0.1281772702932357,0.2154531478881836,0.0938312634825706,-0.0602183416485786,-0.123395062983036,0.1028749868273735,-0.0901969745755195,-0.0425812937319278,0.1210994869470596,-0.1118877977132797,-0.1670042127370834,-0.1995131373405456,0.0383378937840461,0.2799738347530365,0.1553820073604583,-0.1846439987421036,-0.0548391193151474,-0.1133087798953056,-0.0662962943315506,0.0417326688766479,-0.0320632718503475,-0.0986657887697219,-0.1065718233585357,-0.1618066430091858,0.0149482944980263,0.1793808788061142,0.0167204700410366,-0.1130655258893966,0.2816511988639831,0.0178641937673091,0.0119153903797268,0.0705440714955329,0.0285154450684785,-0.1135546118021011,0.0276902634650468,-0.1227305606007576,0.0331730060279369,-0.0115578779950737,-0.1837271153926849,-0.1046612188220024,0.0760921090841293,-0.147902250289917,0.0796204283833503,0.0295568965375423,0.0301718860864639,-0.0348256304860115,-0.1014702543616294,-0.1893061250448227,-0.030953349545598,0.2165997326374054,-0.302618533372879,0.3683181405067444,0.1762576252222061,0.0963889509439468,0.1527331471443176,0.0592026561498642,0.0326871387660503,0.002828016411513,-0.1212615296244621,-0.0958322212100029,-0.101588673889637,0.1089444682002067,-0.0616022571921348,0.0411237627267837,0.0406484864652156
Bill Clinton,"1993, 42nd President of the United States",-0.044622428715229,0.1071159765124321,0.0426770523190498,0.0116031728684902,-0.1270864158868789,0.0348640009760856,-0.0277930609881877,-0.1045854240655899,0.0282204542309045,-0.0542918667197227,0.1249447166919708,-0.0272655077278614,-0.2516419887542724,-0.0472010485827922,0.0031411312520503,0.1126022338867187,-0.0815655812621116,-0.1450908184051513,-0.1094610020518302,-0.0974178984761238,-0.0037008682265877,0.0574942901730537,-0.087985947728157,-0.0235125217586755,-0.1522120535373687,-0.2531124949455261,-0.0477376021444797,0.0054198093712329,0.0228359252214431,-0.059059515595436,0.082801729440689,0.0807604268193245,-0.1914555132389068,-0.0157385095953941,0.0084911193698644,0.0731641501188278,-0.0892588943243026,-0.0418134629726409,0.1072288230061531,0.0605986304581165,-0.1713331341743469,0.0417786538600921,0.0332604609429836,0.2988532483577728,0.2589890956878662,0.0652031078934669,0.0166208483278751,-0.0496545247733593,0.0548652708530426,-0.2877400517463684,0.0663907378911972,0.1141434982419014,0.0733266919851303,0.135622352361679,-0.0523025915026664,-0.1280547231435775,0.0396935231983661,0.1171215027570724,-0.2044459879398346,0.0315720587968826,0.0921654254198074,-0.1986739337444305,-0.0472330823540687,-0.0065504498779773,0.199621319770813,0.0838729962706565,-0.0393742807209491,-0.1412495821714401,0.2152592092752456,-0.1896801888942718,-0.1171296313405036,0.0523874275386333,-0.0292755495756864,-0.0975702106952667,-0.2822640240192413,0.0982885733246803,0.4001390635967254,0.1755834817886352,-0.1551477611064911,0.0079002082347869,-0.0712320506572723,0.0718723312020301,0.1076228693127632,0.013753019273281,-0.018817750737071,-0.164000853896141,-0.0812425538897514,0.0079868854954838,0.2541905343532562,-0.0292732939124107,-0.0612052828073501,0.2016739696264267,0.0813406705856323,-0.069630853831768,0.068632423877716,0.0369300507009029,-0.047685619443655,0.0199844408780336,-0.0679506808519363,-0.0922862887382507,0.0846191123127937,-0.0821498334407806,0.0808667764067649,0.1445842832326889,-0.1800372153520584,0.3250123262405395,0.0107400510460138,0.03992660343647,0.1126695871353149,-0.0317679457366466,-0.0307655204087495,0.0042411587201058,0.1755815893411636,-0.2541124522686004,0.2155175954103469,0.1477132439613342,0.0218406207859516,0.1437768787145614,0.0695344880223274,0.1372116655111313,-0.0329157300293445,-0.0643626973032951,-0.1812914609909057,-0.1226120740175247,0.0435278005897998,-0.0011719036847352,0.0540201254189014,0.0979265496134758
Natalie,good friend,-0.1933365762233734,0.161562368273735,0.1222990453243255,-0.0110132666304707,-0.0378014296293258,-0.1090693175792694,0.0356664732098579,-0.1158367544412612,0.2010868936777115,-0.0670311972498893,0.2408478558063507,0.0048134177923202,-0.2140174210071563,-0.1386874765157699,0.0662595182657241,0.1672374755144119,-0.1461904197931289,-0.138632133603096,-0.0350696071982383,-0.0619892515242099,0.0176662746816873,0.0245804265141487,0.0599523298442363,0.0891700908541679,-0.1123868748545646,-0.369678795337677,-0.1242047548294067,-0.1315525323152542,0.0083846887573599,-0.0998916700482368,-0.0117537043988704,0.0816782340407371,-0.1778635382652282,-0.057057186961174,-0.0434771701693534,0.0984206795692443,-0.0382081009447574,-0.0045854216441512,0.1780423074960708,0.0094702281057834,-0.2105771452188491,-0.1480596661567688,-0.005215898156166,0.3031768798828125,0.1602559983730316,-0.0771548226475715,0.0349029749631881,-0.0614830926060676,0.0135863563045859,-0.1547432392835617,-0.0201417822390794,0.1134960204362869,0.0948101207613945,0.0678370147943496,-0.009760963730514,-0.1617467701435089,0.0115800071507692,0.0286909826099872,-0.2246235460042953,-0.0149748967960476,0.0298563502728939,-0.1752322763204574,-0.1295636594295501,0.0071764327585697,0.2930390536785126,0.0768283531069755,-0.1229259818792343,-0.1180574521422386,0.2208380401134491,-0.1385117769241333,0.0233568176627159,0.1402080208063125,-0.1301143020391464,-0.1920924037694931,-0.3206504881381988,0.0268785580992698,0.3760610818862915,0.056814320385456,-0.1917127817869186,0.016522005200386,-0.2177774012088775,-0.0123203508555889,-0.0226594749838113,0.129048615694046,-0.0992511659860611,0.1541029512882232,-0.1469835638999939,0.0788702592253685,0.1031109541654586,-0.0443168878555297,0.0006294288905337,0.2525689005851745,0.0545717626810073,0.0776546746492385,0.0643953159451484,0.0350274443626403,-0.0233547110110521,-0.0591881982982158,-0.1665170490741729,-0.0577373839914798,0.0522248968482017,-0.1148809641599655,-0.021275158971548,0.1021997034549713,-0.2074153423309326,0.1585559844970703,0.1304131299257278,-0.0212470386177301,-0.0203939229249954,0.0069558592513203,-0.0925437957048416,-0.1555678993463516,0.1777320057153701,-0.2518935799598694,0.0979910045862197,0.2121232450008392,0.0077882204204797,0.1831538081169128,0.0187266245484352,0.1061720550060272,-0.1134426295757293,-0.1312879174947738,-0.1198290511965751,0.087415300309658,0.0970056056976318,-0.0322858653962612,0.0126321353018283,0.0358341932296752
Natalie,good friend,-0.1933365762233734,0.161562368273735,0.1222990453243255,-0.0110132666304707,-0.0378014296293258,-0.1090693175792694,0.0356664732098579,-0.1158367544412612,0.2010868936777115,-0.0670311972498893,0.2408478558063507,0.0048134177923202,-0.2140174210071563,-0.1386874765157699,0.0662595182657241,0.1672374755144119,-0.1461904197931289,-0.138632133603096,-0.0350696071982383,-0.0619892515242099,0.0176662746816873,0.0245804265141487,0.0599523298442363,0.0891700908541679,-0.1123868748545646,-0.369678795337677,-0.1242047548294067,-0.1315525323152542,0.0083846887573599,-0.0998916700482368,-0.0117537043988704,0.0816782340407371,-0.1778635382652282,-0.057057186961174,-0.0434771701693534,0.0984206795692443,-0.0382081009447574,-0.0045854216441512,0.1780423074960708,0.0094702281057834,-0.2105771452188491,-0.1480596661567688,-0.005215898156166,0.3031768798828125,0.1602559983730316,-0.0771548226475715,0.0349029749631881,-0.0614830926060676,0.0135863563045859,-0.1547432392835617,-0.0201417822390794,0.1134960204362869,0.0948101207613945,0.0678370147943496,-0.009760963730514,-0.1617467701435089,0.0115800071507692,0.0286909826099872,-0.2246235460042953,-0.0149748967960476,0.0298563502728939,-0.1752322763204574,-0.1295636594295501,0.0071764327585697,0.2930390536785126,0.0768283531069755,-0.1229259818792343,-0.1180574521422386,0.2208380401134491,-0.1385117769241333,0.0233568176627159,0.1402080208063125,-0.1301143020391464,-0.1920924037694931,-0.3206504881381988,0.0268785580992698,0.3760610818862915,0.056814320385456,-0.1917127817869186,0.016522005200386,-0.2177774012088775,-0.0123203508555889,-0.0226594749838113,0.129048615694046,-0.0992511659860611,0.1541029512882232,-0.1469835638999939,0.0788702592253685,0.1031109541654586,-0.0443168878555297,0.0006294288905337,0.2525689005851745,0.0545717626810073,0.0776546746492385,0.0643953159451484,0.0350274443626403,-0.0233547110110521,-0.0591881982982158,-0.1665170490741729,-0.0577373839914798,0.0522248968482017,-0.1148809641599655,-0.021275158971548,0.1021997034549713,-0.2074153423309326,0.1585559844970703,0.1304131299257278,-0.0212470386177301,-0.0203939229249954,0.0069558592513203,-0.0925437957048416,-0.1555678993463516,0.1777320057153701,-0.2518935799598694,0.0979910045862197,0.2121232450008392,0.0077882204204797,0.1831538081169128,0.0187266245484352,0.1061720550060272,-0.1134426295757293,-0.1312879174947738,-0.1198290511965751,0.087415300309658,0.0970056056976318,-0.0322858653962612,0.0126321353018283,0.0358341932296752
Ivy,KMTC,-0.1423649787902832,0.0903935432434082,0.1348257213830948,-0.025003015995025635,-0.08477834612131119,-0.0735352411866188,-0.010086259804666042,-0.11757753789424896,0.12939593195915222,-0.11917202919721603,0.2508872449398041,-0.09479962289333344,-0.2930123507976532,-0.013511676341295242,0.051508828997612,0.1743716299533844,-0.17371955513954163,-0.12104674428701401,-0.0029599135741591454,-0.04902807995676994,-0.0025893161073327065,0.08628194779157639,0.009208893403410912,0.06736387312412262,-0.058898478746414185,-0.36091646552085876,-0.10997453331947327,-0.11912575364112854,-0.01011907309293747,-0.029570121318101883,-0.008321017026901245,0.1432368904352188,-0.1848822385072708,0.0016509713605046272,-0.003414465580135584,0.058979202061891556,-0.002253371523693204,-0.04665915295481682,0.09839372336864471,-0.02248551696538925,-0.2335938811302185,-0.1489541083574295,0.06251665949821472,0.28649115562438965,0.19331233203411102,-0.028362279757857323,-0.03912230581045151,-0.019186992198228836,-0.02060125581920147,-0.21007047593593597,-0.011826418340206146,0.13290947675704956,0.08787418156862259,0.0514577180147171,-0.006955167278647423,-0.22368799149990082,-0.0025398442521691322,-0.02627294510602951,-0.14704540371894836,-0.03714166581630707,0.08481493592262268,-0.08640246093273163,-0.041309941560029984,-0.05621953308582306,0.35390505194664,0.042458780109882355,-0.1943053901195526,-0.08009324967861176,0.18745723366737366,-0.13139675557613373,-0.01756841316819191,0.07091998308897018,-0.23135682940483093,-0.16211634874343872,-0.3038223087787628,-0.002273445948958397,0.3871682286262512,0.021366529166698456,-0.16405902802944183,0.07307671010494232,-0.1740628331899643,0.025684034451842308,-0.004358710255473852,0.17890356481075287,0.020485451444983482,0.05071962624788284,-0.089939646422863,0.047634560614824295,0.12131741642951965,-0.10266023129224777,-0.020997626706957817,0.25287359952926636,-0.0517156720161438,0.013897235505282879,0.022923234850168228,0.047238029539585114,4.859361797571182e-05,-0.0708191767334938,-0.14624232053756714,-0.01901736855506897,-0.022046241909265518,-0.08440529555082321,-0.06383180618286133,0.17238204181194305,-0.20617224276065826,0.14181707799434662,0.11186522245407104,0.04442133754491806,0.04890529066324234,0.024965891614556313,-0.07676470279693604,-0.13411618769168854,0.1488347053527832,-0.2786831557750702,0.12786641716957092,0.1550634503364563,0.009939595125615597,0.160183846950531,-0.013256106525659561,0.13153153657913208,-0.06316487491130829,-0.07485176622867584,-0.19505129754543304,-0.00711484020575881,0.06760498881340027,-0.03332344442605972,-0.04781743511557579,0.06037352234125137
